epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.658165	0.565996	0.439367	0.608467	0.658657	0.324178	0.938281	0.270267	0.419654	0.646833
2	0.615453	0.619800	0.577967	0.632422	0.689970	0.374800	0.858590	0.523511	0.650432	0.580497
3	0.601571	0.634133	0.503600	0.647911	0.705816	0.400844	0.944393	0.359289	0.520541	0.595632
4	0.588597	0.648242	0.530500	0.652867	0.711960	0.405200	0.922822	0.408133	0.565961	0.587603
5	0.580467	0.655179	0.526500	0.656556	0.716552	0.413644	0.934521	0.396444	0.556717	0.611929
6	0.574343	0.660858	0.544767	0.666422	0.728014	0.436000	0.933608	0.423111	0.582316	0.587021
7	0.570281	0.665833	0.591500	0.673444	0.737324	0.449467	0.903823	0.509556	0.651698	0.561821
8	0.559270	0.673975	0.528733	0.673467	0.743762	0.460267	0.968827	0.384000	0.550003	0.597428
9	0.555546	0.675238	0.542867	0.677733	0.749830	0.461467	0.958847	0.408000	0.572426	0.585358
10	0.550938	0.681558	0.591767	0.686467	0.758015	0.471644	0.923153	0.497067	0.646194	0.550185
11	0.547020	0.682417	0.599367	0.688600	0.763434	0.475244	0.920080	0.510133	0.656355	0.545641
12	0.538836	0.689167	0.589633	0.692689	0.771682	0.484533	0.935167	0.486578	0.640103	0.549348
13	0.532402	0.693971	0.598200	0.693911	0.776693	0.487022	0.929311	0.502489	0.652282	0.539259
14	0.518865	0.703904	0.625500	0.707889	0.791550	0.510889	0.927514	0.543111	0.685074	0.514432
15	0.512965	0.708546	0.617067	0.711911	0.800002	0.524222	0.940903	0.522222	0.671659	0.524542
16	0.508638	0.712363	0.634233	0.714956	0.801538	0.527200	0.930723	0.553511	0.694184	0.517552
17	0.505462	0.715608	0.626867	0.720622	0.809313	0.543244	0.945680	0.533111	0.681844	0.512923
18	0.502587	0.716654	0.603967	0.716067	0.808325	0.539378	0.961094	0.491867	0.650713	0.537455
19	0.500214	0.718738	0.635900	0.723533	0.812331	0.546800	0.942039	0.548267	0.693131	0.500663
20	0.491222	0.724363	0.652367	0.729756	0.818914	0.556667	0.937260	0.574978	0.712723	0.493384
21	0.486203	0.728325	0.652500	0.732244	0.822851	0.563289	0.940726	0.572756	0.712009	0.497319
22	0.484727	0.729137	0.659633	0.734956	0.825285	0.570089	0.938736	0.584311	0.720285	0.486354
23	0.481191	0.732608	0.631367	0.731444	0.824036	0.568444	0.958851	0.531289	0.683730	0.506401
24	0.479827	0.733521	0.649500	0.730556	0.821054	0.559111	0.940787	0.568444	0.708685	0.496735
25	0.477595	0.735175	0.641433	0.732600	0.822642	0.567200	0.950995	0.550267	0.697148	0.502219
26	0.471584	0.739463	0.666300	0.743622	0.834325	0.586222	0.945558	0.588978	0.725839	0.486336
27	0.467481	0.741792	0.656800	0.741511	0.830370	0.581644	0.950665	0.572089	0.714317	0.492385
28	0.467912	0.742229	0.663767	0.743889	0.833540	0.587644	0.948090	0.583644	0.722511	0.479342
29	0.464948	0.744600	0.673833	0.747356	0.839199	0.593378	0.944612	0.600311	0.734096	0.471641
30	0.464901	0.744038	0.670233	0.747622	0.839318	0.594711	0.947978	0.592844	0.729485	0.476696
