epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.694390	0.510246	0.346400	0.508844	0.521441	0.111556	0.768474	0.183956	0.296851	0.745010
2	0.691383	0.523704	0.635300	0.531089	0.553838	0.149289	0.766103	0.739511	0.752572	0.673174
3	0.687680	0.535183	0.524867	0.551422	0.577421	0.164622	0.790803	0.498311	0.611375	0.674591
4	0.682882	0.545017	0.603200	0.553111	0.588686	0.201422	0.781779	0.653289	0.711782	0.665899
5	0.677518	0.552767	0.705333	0.533689	0.580904	0.204933	0.764688	0.876978	0.816992	0.605384
6	0.673020	0.560058	0.694133	0.534444	0.540106	0.117022	0.765439	0.853822	0.807219	0.683248
7	0.668749	0.565875	0.621600	0.558311	0.608717	0.239778	0.783347	0.684889	0.730817	0.641610
8	0.667746	0.566496	0.443400	0.569600	0.612342	0.225156	0.842422	0.317200	0.460868	0.712290
9	0.664519	0.570192	0.605000	0.575289	0.624373	0.252000	0.797287	0.634711	0.706770	0.642382
10	0.663376	0.573721	0.610400	0.561156	0.614773	0.265911	0.786456	0.659644	0.717490	0.645366
11	0.661317	0.577758	0.664367	0.553756	0.605624	0.221200	0.776946	0.774978	0.775961	0.600049
12	0.659829	0.580850	0.554000	0.589956	0.629724	0.249156	0.821308	0.518044	0.635343	0.645161
13	0.657635	0.584033	0.506667	0.572044	0.610751	0.236133	0.816664	0.441289	0.572970	0.687366
14	0.657218	0.584296	0.688000	0.538400	0.557462	0.115822	0.767595	0.837600	0.801071	0.699121
15	0.655157	0.589654	0.488233	0.593800	0.640770	0.264844	0.854760	0.382667	0.528659	0.667441
16	0.654414	0.588075	0.617167	0.582956	0.639075	0.284089	0.801006	0.651378	0.718484	0.619814
17	0.652493	0.592862	0.715300	0.525578	0.525542	0.104933	0.760750	0.905022	0.826639	2.246760
18	0.650697	0.593387	0.571667	0.595111	0.641901	0.273333	0.821238	0.548222	0.657516	0.613757
19	0.650102	0.596417	0.463733	0.596000	0.645202	0.286667	0.876999	0.331467	0.481099	0.679056
20	0.650265	0.594217	0.422767	0.587222	0.639144	0.278711	0.902344	0.258311	0.401645	0.699694
21	0.649299	0.595892	0.653000	0.520622	0.515904	0.100978	0.759978	0.785378	0.772469	3.216053
22	0.648586	0.598588	0.490700	0.603222	0.650170	0.296178	0.868531	0.378178	0.526922	0.661872
