epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.698362	0.500692	0.447000	0.502400	0.503878	0.101067	0.752305	0.391600	0.515082	0.694163
2	0.694083	0.501212	0.701633	0.499622	0.502453	0.104533	0.749843	0.903644	0.819591	0.692456
3	0.694159	0.500775	0.720267	0.501867	0.504514	0.104444	0.750746	0.938667	0.834255	0.683153
4	0.693702	0.500200	0.317633	0.500200	0.501136	0.100000	0.750556	0.135067	0.228935	0.695637
5	0.693577	0.500637	0.371000	0.499822	0.499797	0.099867	0.749725	0.242178	0.366098	0.694020
6	0.693642	0.500387	0.250033	0.500022	0.498385	0.106178	1.000000	0.000044	0.000089	0.747853
7	0.693457	0.500771	0.341233	0.503533	0.508329	0.103822	0.757479	0.178933	0.289484	0.688673
8	0.693412	0.499188	0.545133	0.500622	0.500977	0.100089	0.750396	0.589644	0.660378	0.703481
9	0.693368	0.501313	0.300367	0.503000	0.507034	0.106444	0.761690	0.097733	0.173238	0.696965
10	0.693282	0.501696	0.250000	0.500000	0.499933	0.099867	0.000000	0.000000	0.000000	0.694702
11	0.693151	0.501096	0.750000	0.500000	0.499933	0.099867	0.750000	1.000000	0.857143	0.692505
12	0.693150	0.501079	0.750000	0.500000	0.499933	0.099867	0.750000	1.000000	0.857143	0.691772
13	0.693144	0.502313	0.250000	0.500000	0.499933	0.099867	0.000000	0.000000	0.000000	0.696167
14	0.693150	0.501067	0.750000	0.500000	0.499933	0.099867	0.750000	1.000000	0.857143	0.689819
15	0.693148	0.500579	0.250000	0.500000	0.499933	0.099867	0.000000	0.000000	0.000000	0.693726
16	0.693156	0.498842	0.750000	0.500000	0.499933	0.099867	0.750000	1.000000	0.857143	0.692749
17	0.693142	0.500833	0.250000	0.500000	0.499933	0.099867	0.000000	0.000000	0.000000	0.696167
18	0.693148	0.500546	0.750000	0.500000	0.499933	0.099867	0.750000	1.000000	0.857143	0.692505
19	0.693156	0.499063	0.250000	0.500000	0.499933	0.099867	0.000000	0.000000	0.000000	0.694214
20	0.693149	0.499217	0.250000	0.500000	0.499933	0.099867	0.000000	0.000000	0.000000	0.693970
21	0.693147	0.500450	0.750000	0.500000	0.499933	0.099867	0.750000	1.000000	0.857143	0.690796
22	0.693154	0.500167	0.250000	0.500000	0.499933	0.099867	0.000000	0.000000	0.000000	0.693726
