epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.698528	0.499129	0.635067	0.498978	0.498746	0.099467	0.749503	0.771156	0.760175	0.688818
2	0.694016	0.498387	0.673033	0.500022	0.500034	0.100489	0.750010	0.846044	0.795138	0.689176
3	0.693711	0.500317	0.739600	0.499911	0.500061	0.100178	0.749966	0.979289	0.849422	0.678816
4	0.693624	0.501154	0.275200	0.499956	0.500023	0.100089	0.749670	0.050444	0.094528	0.697579
5	0.693606	0.499679	0.250000	0.500000	0.499980	0.099556	0.000000	0.000000	0.000000	0.739810
6	0.693520	0.498946	0.250267	0.500000	0.499849	0.099911	0.750000	0.000533	0.001066	0.699174
7	0.693447	0.500313	0.740733	0.500044	0.499905	0.099689	0.750017	0.981422	0.850256	0.691569
8	0.693170	0.499704	0.250000	0.500000	0.499933	0.099867	0.000000	0.000000	0.000000	0.693970
9	0.693154	0.500012	0.250000	0.500000	0.499933	0.099867	0.000000	0.000000	0.000000	0.693970
10	0.693154	0.499717	0.250000	0.500000	0.499933	0.099867	0.000000	0.000000	0.000000	0.694702
11	0.693149	0.501104	0.750000	0.500000	0.499933	0.099867	0.750000	1.000000	0.857143	0.692505
12	0.693150	0.501079	0.750000	0.500000	0.499933	0.099867	0.750000	1.000000	0.857143	0.691772
13	0.693144	0.502313	0.250000	0.500000	0.499933	0.099867	0.000000	0.000000	0.000000	0.696167
14	0.693151	0.501067	0.750000	0.500000	0.499933	0.099867	0.750000	1.000000	0.857143	0.689819
15	0.693148	0.500579	0.250000	0.500000	0.499933	0.099867	0.000000	0.000000	0.000000	0.693726
16	0.693156	0.498858	0.750000	0.500000	0.499933	0.099867	0.750000	1.000000	0.857143	0.692749
17	0.693142	0.500833	0.250000	0.500000	0.499933	0.099867	0.000000	0.000000	0.000000	0.696167
