epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.680933	0.550763	0.521800	0.593689	0.642747	0.269867	0.837165	0.449911	0.585280	0.664560
2	0.649545	0.589742	0.627000	0.584000	0.637469	0.271022	0.800159	0.670000	0.729318	0.610341
3	0.635868	0.604796	0.494300	0.619756	0.676384	0.333333	0.895350	0.368844	0.522459	0.658868
4	0.625882	0.612542	0.555133	0.622089	0.680736	0.342756	0.857187	0.488178	0.622076	0.629725
5	0.618837	0.620800	0.513967	0.632467	0.689832	0.361022	0.900881	0.395467	0.549649	0.637096
6	0.612914	0.625450	0.559033	0.629800	0.689037	0.352533	0.864971	0.488267	0.624187	0.631206
7	0.608880	0.630933	0.554300	0.627667	0.682862	0.353378	0.864781	0.480933	0.618113	0.600246
8	0.599055	0.640754	0.556600	0.638444	0.699853	0.372667	0.878021	0.474756	0.616281	0.632175
9	0.597670	0.641487	0.550633	0.646822	0.706835	0.393511	0.894497	0.454444	0.602694	0.603935
10	0.593932	0.646338	0.510367	0.641400	0.705305	0.383733	0.921806	0.379333	0.537485	0.646530
11	0.592581	0.647433	0.613600	0.632356	0.699701	0.381422	0.843884	0.594844	0.697810	0.576658
12	0.588099	0.652233	0.526833	0.656511	0.721298	0.417511	0.934044	0.397156	0.557333	0.610254
13	0.586230	0.655146	0.499100	0.635311	0.692655	0.369600	0.921870	0.362889	0.520777	0.670906
14	0.581636	0.659754	0.616333	0.654533	0.726236	0.422756	0.865699	0.578133	0.693279	0.563793
15	0.579589	0.659925	0.551500	0.665978	0.732755	0.430089	0.925807	0.437022	0.593762	0.588035
16	0.576614	0.663067	0.494233	0.638111	0.700561	0.381244	0.934115	0.350356	0.509583	0.682349
17	0.574269	0.666088	0.555933	0.670089	0.738962	0.440444	0.928798	0.441778	0.598759	0.602271
18	0.571912	0.667879	0.531333	0.664356	0.737370	0.434133	0.944960	0.398311	0.560405	0.622848
19	0.569641	0.669854	0.602167	0.671667	0.742340	0.444933	0.894069	0.532667	0.667595	0.573150
20	0.567115	0.671225	0.564467	0.670978	0.732854	0.442356	0.922141	0.457956	0.611986	0.592898
21	0.565274	0.673125	0.558267	0.672622	0.745329	0.445378	0.931022	0.443911	0.601180	0.621324
22	0.563030	0.673913	0.544067	0.666133	0.729502	0.431867	0.933812	0.422000	0.581303	0.610152
23	0.553685	0.680612	0.540900	0.666733	0.742170	0.434222	0.938499	0.415067	0.575575	0.623330
