epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.702064	0.501142	0.278900	0.499978	0.499982	0.099733	0.749856	0.057822	0.107365	0.722325
2	0.694819	0.500188	0.696933	0.500044	0.498974	0.099422	0.750019	0.893822	0.815630	0.684403
3	0.693927	0.500200	0.750000	0.500000	0.501066	0.100178	0.750000	1.000000	0.857143	0.655120
4	0.693669	0.500854	0.609167	0.502156	0.504640	0.104444	0.751130	0.716178	0.733238	0.691165
5	0.693594	0.500533	0.250000	0.500000	0.502222	0.102622	0.000000	0.000000	0.000000	0.712540
6	0.693629	0.497821	0.250067	0.500000	0.507576	0.105467	0.750000	0.000133	0.000267	0.717544
7	0.693554	0.500575	0.736200	0.500844	0.506670	0.105200	0.750326	0.971556	0.846729	0.688238
8	0.693322	0.501046	0.264400	0.501556	0.511224	0.106800	0.772040	0.027244	0.052632	0.702003
9	0.693194	0.504708	0.304133	0.503511	0.513913	0.107022	0.762783	0.104756	0.184213	0.704022
10	0.693242	0.504504	0.742767	0.501889	0.517630	0.106622	0.750721	0.983644	0.851542	0.680319
11	0.693136	0.505617	0.448867	0.512133	0.518001	0.109467	0.761988	0.385600	0.512070	0.691843
12	0.693027	0.508017	0.728133	0.504089	0.524227	0.110933	0.751614	0.952178	0.840091	0.680671
13	0.692946	0.508408	0.722933	0.505156	0.522871	0.110444	0.752061	0.940711	0.835874	0.681185
14	0.692566	0.513454	0.694933	0.514311	0.529576	0.113111	0.756180	0.875556	0.811501	0.678709
15	0.691775	0.520729	0.394367	0.527489	0.545737	0.137333	0.791650	0.261244	0.392849	0.711391
16	0.688321	0.532050	0.437867	0.550978	0.568567	0.195733	0.813878	0.324756	0.464261	0.697735
17	0.674518	0.556763	0.509600	0.573244	0.607121	0.236933	0.817101	0.445956	0.576998	0.670721
18	0.661017	0.574896	0.429467	0.580222	0.629167	0.256400	0.876083	0.278711	0.422888	0.721269
19	0.650878	0.588712	0.560033	0.589311	0.630849	0.298489	0.818899	0.530756	0.644069	0.648989
20	0.640384	0.602858	0.557233	0.615844	0.660912	0.319111	0.848574	0.498622	0.628146	0.630704
21	0.634766	0.611096	0.514033	0.619622	0.672315	0.325200	0.878669	0.408444	0.557663	0.656819
22	0.629656	0.617413	0.494233	0.621800	0.677166	0.339022	0.899379	0.366667	0.520948	0.664395
23	0.626082	0.619479	0.551100	0.632956	0.687075	0.355911	0.873790	0.469244	0.610589	0.626359
24	0.621237	0.624725	0.488700	0.629000	0.686913	0.358000	0.920395	0.348400	0.505465	0.668256
25	0.617079	0.629971	0.543267	0.635022	0.690012	0.363378	0.881858	0.451511	0.597237	0.639691
26	0.610942	0.634796	0.534600	0.642133	0.698194	0.377200	0.899719	0.427067	0.579204	0.634981
27	0.608630	0.637108	0.563033	0.641844	0.701223	0.372978	0.878700	0.484222	0.624373	0.612428
28	0.606614	0.638817	0.568133	0.643556	0.702122	0.381333	0.877890	0.492711	0.631177	0.606236
29	0.604881	0.638837	0.550133	0.644400	0.704160	0.385422	0.891138	0.455867	0.603176	0.616274
30	0.603235	0.641683	0.546500	0.644200	0.704738	0.382578	0.893549	0.448800	0.597497	0.626403
