epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.052155	0.980000	0.996667	0.996667	0.999967	1.000000	0.996667	0.996667	0.996667	0.007934
2	0.012609	0.995208	0.996667	0.996667	1.000000	1.000000	1.000000	0.993333	0.996656	0.005393
3	0.009123	0.996667	0.998333	0.998333	0.999989	1.000000	1.000000	0.996667	0.998331	0.004476
4	0.009057	0.998125	0.996667	0.996667	0.999933	1.000000	0.996667	0.996667	0.996667	0.009133
5	0.003394	0.998958	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000648
6	0.001251	0.999792	0.996667	0.996667	0.999989	1.000000	0.996667	0.996667	0.996667	0.006368
7	0.003117	0.998750	0.998333	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.001789
8	0.001234	0.999583	0.998333	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.002046
9	0.005484	0.997708	0.996667	0.996667	0.999989	1.000000	0.996667	0.996667	0.996667	0.004262
10	0.001070	0.999792	0.998333	0.998333	0.999989	1.000000	1.000000	0.996667	0.998331	0.004500
