epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.054405	0.982083	0.998333	0.998333	0.999978	1.000000	1.000000	0.996667	0.998331	0.007289
2	0.014116	0.996458	0.998333	0.998333	0.999978	1.000000	1.000000	0.996667	0.998331	0.006137
3	0.007440	0.997708	0.998333	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.003052
4	0.002384	0.999375	0.998333	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.002128
5	0.003981	0.998958	0.998333	0.998333	0.999989	1.000000	1.000000	0.996667	0.998331	0.003991
6	0.007648	0.997708	0.998333	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.004518
7	0.003160	0.998958	0.998333	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.001853
8	0.001087	0.999792	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000799
9	0.001497	0.999792	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000991
10	0.001093	0.999792	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000851
