epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.315566	0.858125	0.900000	0.900000	0.956833	0.910000	0.852941	0.966667	0.906250	0.363625
2	0.144507	0.949792	0.806667	0.806667	0.990989	0.990000	1.000000	0.613333	0.760331	0.480832
3	0.079526	0.970417	0.938333	0.938333	0.997933	0.996667	0.890208	1.000000	0.941915	0.153774
4	0.067509	0.976458	0.976667	0.976667	0.998278	0.996667	0.986395	0.966667	0.976431	0.059134
5	0.057636	0.979792	0.990000	0.990000	0.999778	1.000000	0.983553	0.996667	0.990066	0.024158
6	0.045976	0.983958	0.988333	0.988333	0.999022	0.996667	0.993266	0.983333	0.988275	0.045574
7	0.026448	0.989375	0.978333	0.978333	0.998956	0.996667	1.000000	0.956667	0.977853	0.078054
8	0.037197	0.988125	0.970000	0.970000	0.999578	1.000000	0.946203	0.996667	0.970779	0.068614
9	0.020007	0.993542	0.998333	0.998333	0.999844	1.000000	1.000000	0.996667	0.998331	0.012921
10	0.014876	0.995000	0.996667	0.996667	0.999756	1.000000	0.996667	0.996667	0.996667	0.021473
