epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.331954	0.830868	0.961111	0.961111	0.990207	0.988889	0.956044	0.966667	0.961326	0.118563
2	0.074052	0.974237	0.973333	0.973333	0.997669	0.993333	0.997664	0.948889	0.972665	0.072351
3	0.043651	0.985210	0.993333	0.993333	0.999778	1.000000	0.997758	0.988889	0.993304	0.020419
4	0.015116	0.995229	0.991111	0.991111	0.999017	0.995556	0.988938	0.993333	0.991131	0.030765
5	0.019898	0.993321	0.992222	0.992222	0.999728	0.997778	1.000000	0.984444	0.992161	0.023292
6	0.024806	0.992366	0.992222	0.992222	0.999531	0.997778	0.995526	0.988889	0.992196	0.023893
7	0.010349	0.996660	0.993333	0.993333	0.998691	0.997778	0.997758	0.988889	0.993304	0.027598
8	0.010987	0.995706	0.994444	0.994444	0.998519	0.995556	1.000000	0.988889	0.994413	0.024923
9	0.002883	0.999284	0.996667	0.996667	0.999338	0.995556	0.997773	0.995556	0.996663	0.018664
10	0.004891	0.998807	0.996667	0.996667	0.998894	0.995556	1.000000	0.993333	0.996656	0.023975
