epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.235201	0.893607	0.954444	0.954444	0.995615	0.995556	0.919918	0.995556	0.956243	0.151746
2	0.016494	0.994990	0.977778	0.977778	0.998667	0.995556	1.000000	0.955556	0.977273	0.079831
3	0.007792	0.998330	0.992222	0.992222	0.999728	1.000000	0.993318	0.991111	0.992214	0.020073
4	0.009478	0.997137	0.993333	0.993333	0.999812	1.000000	0.991150	0.995556	0.993348	0.015318
5	0.005789	0.997853	0.996667	0.996667	0.999980	1.000000	0.995565	0.997778	0.996670	0.008554
6	0.007526	0.997376	0.996667	0.996667	0.999985	1.000000	1.000000	0.993333	0.996656	0.010118
7	0.001210	1.000000	0.994444	0.994444	0.999832	1.000000	0.993348	0.995556	0.994451	0.023380
8	0.001027	0.999761	0.996667	0.996667	0.999980	1.000000	0.997773	0.995556	0.996663	0.008730
9	0.000469	1.000000	0.997778	0.997778	0.999990	1.000000	1.000000	0.995556	0.997773	0.009679
10	0.005766	0.997853	0.995556	0.995556	0.999921	1.000000	0.997768	0.993333	0.995546	0.024070
